-2.1188559,5.2303467,2.3540487
-2.2847748,5.1242668,2.3446099
-2.3954577,4.9620468,2.3634003
-2.4787752,4.7773838,2.7669731
-2.5684032,4.6028753,3.1160951
-2.6656058,4.4303934,3.4274654
-2.7647870,4.2569502,3.7106177
-2.8646864,4.0840651,3.9716084
-2.9650057,3.9112261,4.2145718
-3.0655747,3.7371398,4.4424813
-3.1639431,3.5647643,4.6575611
-3.2629351,3.3879241,4.8615271
-3.3571350,3.2163416,4.4971926
-3.4539560,3.0393662,3.9344370
-3.5519989,2.8607402,3.4176387
-3.6404514,2.6793609,3.0755446
-3.7005358,2.4932858,3.0633110
-3.7172265,2.2925610,3.0510282
-3.6931669,2.0959109,3.1978349
-3.6376303,1.9010245,3.2093960
-3.5515784,1.7220213,3.1966299
-3.4284424,1.5692284,3.1838126
-3.2707705,1.4451868,3.1827056
-3.0985315,1.3440594,3.4822075
-2.9199665,1.2542705,3.7608386
-2.7437214,1.1694203,4.0181952
-2.5653009,1.0812511,4.2581518
-2.3892477,0.9932027,4.4835172
-2.2104767,0.9032444,4.6964060
-2.0338028,0.8136025,4.8984581
-1.8551689,0.7243414,5.0909762
-1.6747324,0.6387060,4.9744051
-1.4974225,0.5572715,4.5268491
-1.3105585,0.4676053,4.1081127
-1.1336973,0.3774258,3.6427736
-0.9504492,0.2939019,3.3735931
-0.7596274,0.2360380,3.3601739
-0.5623056,0.2168028,3.3467009
-0.3632321,0.2320509,3.4649989
-0.1674576,0.2746122,3.6625023
0.0229992,0.3353912,3.9270538
0.2106125,0.4032353,4.1729499
0.3996220,0.4681768,4.4033316
0.5895139,0.5291293,4.6205341
0.7780217,0.5925187,4.8263501
0.9631515,0.6635496,5.0221922
1.1471128,0.7409915,5.2091974
1.3314378,0.8207486,5.3882973
1.5162082,0.8991776,4.9823625
1.7008095,0.9750822,4.5219314
1.8875149,1.0488502,4.0101380
2.0757915,1.1230711,3.4741635
2.2552809,1.2014953,2.9387669
2.4454199,1.3052332,2.3398667
2.5981828,1.4255887,1.9011663
2.6884198,1.6070205,1.6405407
2.7100546,1.7739144,1.6340151
2.7064683,1.9703789,1.6274633
2.5964853,2.1294659,1.8806195
2.4123936,2.1958349,1.8730789
2.2091043,2.2513313,2.3654868
2.0230450,2.3167458,2.7687412
1.8310999,2.3878607,3.1176527
1.6438514,2.4524781,3.4288703
1.4529700,2.5155013,3.7119050
1.2603294,2.5795291,3.9728015
1.0702883,2.6444469,4.2156872
0.8848084,2.7092506,4.4435310
0.6927549,2.7772467,4.6585543
0.5089322,2.8417061,4.2729751
0.3189187,2.9066798,3.7128527
0.1325403,2.9729031,3.1166893
-0.0543850,3.0505165,2.6822344
-0.2211374,3.1547199,2.6715653
-0.3507243,3.3001601,2.6608533
-0.4597871,3.4706228,3.0230215
-0.5651548,3.6315390,3.3437557
-0.6783705,3.8000521,3.6340616
-0.7839773,3.9659779,3.9007554
-0.8888325,4.1372697,4.1484092
-0.9969777,4.3131891,4.3802685
-1.1057266,4.4865308,4.0759516
-1.2092987,4.6548862,3.5485446
-1.3114049,4.8328512,2.9318643
-1.4164433,5.0021355,2.6250216
-1.5515115,5.1386131,2.6145800
-1.7307245,5.2267092,2.6040965
-1.9298128,5.2603730,2.7056108
-2.1188559,5.2303467,2.3540487
